"Word","Length","Freq_KF","Freq_HAL","Log_Freq_HAL"
"ALF","3","NULL","928","6.83"
"ALFA","4","NULL","849","6.74"
"alfresco","8","2","5","1.61"
"algebraical","11","NULL","2","0.69"
"algebras","8","NULL","156","5.05"
"ALGER","5","NULL","200","5.30"
"ALGINATES","9","NULL","3","1.10"
"ALGOL","5","NULL","380","5.94"
"algorithmic","11","NULL","637","6.46"
"algorithms","10","NULL","9114","9.12"
"ALIA","4","NULL","523","6.26"
"ALIAH","5","NULL","0","0.00"
"aliases","7","NULL","3283","8.10"
"alienating","10","NULL","372","5.92"
"alienist","8","1","15","2.71"
"alienists","9","NULL","3","1.10"
"ALIENUS","7","NULL","2","0.69"
"alighted","8","NULL","27","3.30"
"alighting","9","NULL","19","2.94"
"alights","7","NULL","12","2.48"
"aligns","6","NULL","137","4.92"
"allegros","8","NULL","2","0.69"
"alimentary","10","1","41","3.71"
"aliments","8","NULL","17","2.83"
"ALIQUOTS","8","NULL","23","3.14"
"ALISON","6","NULL","2575","7.85"
"alit","4","1","16","2.77"
"ALIX","4","NULL","133","4.89"
"ALIX'S","6","NULL","1","0.00"
"ALIZARIN","8","NULL","7","1.95"
"ALKALOIDS","9","NULL","263","5.57"
"ALKYLARYSULFONATE","17","NULL","0","0.00"
"ALKYLBENZENESULFONATES","22","NULL","0","0.00"
"ALLA","4","NULL","6199","8.73"
"allayed","7","NULL","25","3.22"
"allaying","8","NULL","17","2.83"
"allays","6","NULL","8","2.08"
"alleges","7","NULL","433","6.07"
"ALLEGHENIES","11","NULL","2","0.69"
"ALLEGHENY","9","NULL","385","5.95"
"allegorically","13","NULL","24","3.18"
"allegories","10","NULL","58","4.06"
"ALLEGRETTI","10","NULL","5","1.61"
"allegrettos","11","NULL","0","0.00"
"alleluias","9","NULL","2","0.69"
"ALLEMANDS","9","NULL","51","3.93"
"allergens","9","NULL","150","5.01"
"alleviated","10","NULL","278","5.63"
"alleviates","10","NULL","111","4.71"
"alligators","10","NULL","238","5.47"
"alliterated","11","NULL","0","0.00"
"alliterates","11","NULL","15","2.71"
"alliterating","12","NULL","1","0.00"
"alliteratively","14","NULL","1","0.00"
"allocates","9","NULL","658","6.49"
"allocating","10","NULL","1003","6.91"
"ALLONS","6","NULL","72","4.28"
"allopathical","12","NULL","0","0.00"
"allopathically","14","NULL","0","0.00"
"allots","6","NULL","65","4.17"
"allowably","9","NULL","1","0.00"
"alloyed","7","NULL","49","3.89"
"alloying","8","NULL","63","4.14"
"ALLSO","5","NULL","64","4.16"
"ALLSTATES","9","NULL","0","0.00"
"allured","7","NULL","15","2.71"
"allurements","11","NULL","5","1.61"
"allures","7","NULL","137","4.92"
"allusively","10","NULL","1","0.00"
"alluvia","7","NULL","0","0.00"
"alluvial","8","NULL","27","3.30"
"alluvium","8","1","7","1.95"
"alluviums","9","NULL","0","0.00"
"allying","7","NULL","67","4.20"
"ALMA","4","NULL","1376","7.23"
"ALMADEN","7","NULL","261","5.56"
"ALMAGEST","8","NULL","10","2.30"
"almanacs","8","NULL","258","5.55"
"almoner","7","1","1","0.00"
"almoners","8","NULL","0","0.00"
"ALOKUT","6","NULL","0","0.00"
"aloofly","7","NULL","1","0.00"
"alopecia","8","NULL","45","3.81"
"ALORS","5","NULL","939","6.84"
"alpaca","6","1","75","4.32"
"alpacas","7","NULL","15","2.71"
"alpenhorn","9","1","8","2.08"
"alpenhorns","10","NULL","1","0.00"
"alpenstock","10","1","3","1.10"
"alpenstocks","11","NULL","0","0.00"
"ALPERS","6","NULL","73","4.29"
"ALPERT","6","NULL","763","6.64"
"ALPERTS","7","NULL","6","1.79"
"alphabetically","14","NULL","904","6.81"
"alphabets","9","NULL","381","5.94"
