Seg.	sonority	syllabic	consonantic	anterior	coronal	back	high	low	round	ATR nasal	lateral	continuant	voiced	strident	
bar	son	syl	cons	ant	cor	back	high	low	round	ATR	nas	lat	cont	voice	strid
p	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
t	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
c	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
q	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
k	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0
b	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0
d	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0
g	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0
f	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1
x	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1
s	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1
h	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1
v	0	0	1	1	0	1	0	0	0	0	0	0	1	1	1
z	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1
j	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1
m	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0
n	1	0	1	1	1	0	0	0	0	0	1	0	0	1	0
y	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0
l	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1
r	1	0	1	0	0	2	0	0	0	0	0	0	1	1	1
w	1	0	0	0	0	2	1	0	1	0	0	0	1	1	0
i	1	1	0	0	0	0	1	0	0	1	0	0	1	1	0
u	1	1	0	0	0	0	1	0	1	1	0	0	1	1	0
é	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
ê	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
è	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
e	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
a	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0
o	1	1	0	0	0	2	0	0	1	0	0	0	1	1	0
